Title,Division,Chapter ,Arcticle,Section_Name,M.C.L Number,Section Number
Buildings and Construction,None,Chapter 16.24 - Property Standards,"Article 5. Minimum Standards for Buildings, Structures, and Premises",Fire safety requirements-Means of egress,M.C.L 16.24.530,Section 16.24.530
Buildings and Construction,None,Chapter 16.24 - Property Standards,"Article 5. Minimum Standards for Buildings, Structures, and Premises",Fire protection systems,M.C.L 16.24.550,Section 16.24.550
Buildings and Construction,None,Chapter 16.28 - BUILDING PERMITS,None,Required when,M.C.L 16.28.010,Section 16.28.010
Buildings and Construction,None,None,None,None,M.C.L 16.34.400,Section 16.34.400
Zoning,None,Chapter 17.04 - GENERAL PROVISIONS AND DEFINITIONS,None,Defintions of general terms,M.C.L 17.04.060,Section 17.04.060
Zoning,None,Chapter 17.08 - ,None,District land use tables,M.C.L 17.04.100,Section 17.04.100
Zoning,None,Chapter 17.08 - ZONING DISTRICTS AND LAND USES,None,District land use tables,M.C.L 17.08.030,Section 17.08.030
Zoning,None,Chapter 17.12 - DISTRICT BULK REGULATIONS,None,Other setbacks,M.C.L 17.12.040,Section 17.12.040
Zoning,None,Chapter 17.16 - LAND USE DEVELOPMENT STANDARDS,Article 2. Users Permitted with Conditions (PC),Residential uses,M.C.L 17.16.030,Section 17.16.030
Zoning,None,Chapter 17.16 - LAND USE DEVELOPMENT STANDARDS,Article 4. Uses Permitted as Accessory ,Residential accessory uses,M.C.L 17.16.250,Section 17.16.250
Zoning,None,Chapter 17.16 - LAND USE DEVELOPMENT STANDARDS,Article 4. Uses Permitted as Accessory ,Other accessory uses,M.C.L 17.16.330,Section 17.16.330
Zoning,None,"Chapter 17.20 - PARKING, LOADING AND ACCESS",None,,M.C.L 17.20.070,Section 17.20.070
Zoning,None,None,None,None,M.C.L 17.24. ,Section 17.24.
Zoning,None,"Chapter 17.24 - LANDSCAPING, BUFFERING AND TREE REPLACEMENT",Article 1. General Provisions,Maintenance of required landscape materials,M.C.L 17.24.080,Section 17.24.080
Zoning,None,"Chapter 17.24 - LANDSCAPING, BUFFERING AND TREE REPLACEMENT",Article 2. Tree Protection and Replacement,Removal of protected trees,M.C.L 17.24.090,Section 17.24.090
Zoning,None,Chapter 17.28 -  ENVIRONMENTAL AND OPERATIONAL PERFORMANCE STANDARDS,Article 2. Operational Performance Standards,Noise,M.C.L 17.28.090,Section 17.28.090
Zoning,None,Chapter 17.28 -  ENVIRONMENTAL AND OPERATIONAL PERFORMANCE STANDARDS,Article 2. Operational Performance Standards,Lighting,M.C.L 17.28.100,Section 17.28.100
Zoning,None,Chapter 17.32 SIGN REGULATIONS,None,General Provisions,M.C.L 17.32.020,Section 17.32.020
Zoning,None,Chapter 17.32 SIGN REGULATIONS,None,Exempt signs,M.C.L 17.32.040,Section 17.32.040
Zoning,None,Chapter 17.32 SIGN REGULATIONS,None,Prohibited signs,M.C.L 17.32.050,Section 17.32.050
Zoning,None,Chapter 17.32 SIGN REGULATIONS,None,Permitted on-premises signs,M.C.L 17.32.060,Section 17.32.060
Zoning,None,Chapter 17.40 ADMINISTRATION AND PROCEDURES,Article 10. Tree Protection and Replacement Procedures,Tree removal permit procedures,M.C.L 17.40.470,Section 17.40.470
Zoning,None,Chapter 17.40 ADMINISTRATION AND PROCEDURES,Article 11. Sign Procedures,"Unsafe, illegal, dilapidates and abandonded signs",M.C.L 17.40.510,Section 17.40.510
Zoning,None,Chapter 17.40 ADMINISTRATION AND PROCEDURES,Article 12. Permits and Certificates of Compliance,Applicability,M.C.L 17.40.520,Section 17.40.520
Zoning,None,Chapter 17.40 ADMINISTRATION AND PROCEDURES,Article 12. Permits and Certificates of Compliance,Certificate of compliance,M.C.L 17.40.580,Section 17.40.580
